Wellenlaenge,equ,flu,flu2,inc,led_kw,led_nw,led_ww,led,tag
392,1.3701832769143264e-5,1.2497502510174221e-07,4.208725157265445e-7,1.206164721837162e-6,3.923164175766455e-9,6.621638239691547e-8,-5.905883974327393e-9,-1.319799696756596e-8,1.1498892838520438e-5
393,1.3701832769143264e-5,1.6046793223063706e-7,4.417064626768469e-7,1.2648668849989056e-6,1.8562293465105644e-8,8.358942128805322e-8,2.7834136795344423e-9,-2.7545819428518348e-8,1.0998940975976072e-5
394,1.3701832769143264e-5,2.589482520108099e-7,4.396850766236045e-7,1.3380052835836262e-6,3.9571770286486367e-08,9.760689568394326e-8,-2.5867670555634907e-8,-3.1945151751040336e-8,1.084895541721276e-5
395,1.3701832769143264e-5,3.044391611478441e-7,4.185390723793682e-7,1.3988511776185118e-6,5.2497312135616795e-8,1.0092651639630323e-7,-4.7680323308800057e-8,7.698831564413478e-9,1.1198921720993816e-5
396,1.3701832769143264e-5,2.794441561274956e-7,2.925943094635767e-7,1.3941374184036846e-6,2.187865873826064e-8,4.616977384146877e-8,-3.3000911024013186e-8,7.848808802681273e-8,1.2098835073573676e-5
397,1.3701832769143264e-5,2.5044995030389144e-7,1.698607533119038e-7,1.3901415752912338e-6,-7.980575922816779e-9,-7.225815646425433e-9,-1.8695295702795728e-8,1.29480349037863e-7,1.3498700288697909e-5
398,1.3701832769143264e-5,2.584483519104029e-7,3.167844772976475e-7,1.4393472110336376e-6,5.679892299135121e-9,-7.336189236009385e-9,-1.4336477122250477e-8,1.284805007827444e-7,1.4998555876331005e-5
399,1.3701832769143264e-5,2.984403599429605e-7,5.675829984634282e-7,1.5091531432454672e-6,3.634658365642642e-8,1.3809613607798844e-8,-1.406629567301728e-8,9.798512900162608e-8,1.6498411463964107e-5
400,1.3701832769143264e-5,4.094181822333075e-7,1.4793416525174057e-6,1.5736865660356597e-6,5.838757805075605e-8,3.0536255152042224e-8,-1.6372601890987458e-8,6.299044007247389e-8,1.794827186534277e-5
401,1.3701832769143264e-5,1.0547892118587044e-6,4.3122365379841725e-6,1.630164858852368e-6,5.8789306229044534e-8,3.672607197491356e-8,-2.6041563635853732e-8,4.344340668490463e-8,1.904816596294038e-5
402,1.3701832769143264e-5,2.8944215813563497e-6,7.182792295253723e-6,1.6870527534143077e-6,5.9183490169402856e-8,4.299213565488264e-8,-3.5836550029212585e-8,5.69913505417621e-8,1.9498122639230303e-5
403,1.3701832769143264e-5,5.598881124558051e-6,9.86254874572163e-6,1.7247461314096138e-6,6.605316160975422e-8,4.1367372778701776e-8,-2.7924414879256088e-8,9.548550836382949e-8,1.9348137080467e-5
404,1.3701832769143264e-5,7.748451556308017e-6,1.2459488538795829e-5,1.7581364649835455e-6,7.423779272473403e-8,3.8064028111979335e-8,-1.6297214457245986e-8,1.1498254933864286e-7,1.9248146707958125e-5
405,1.3701832769143264e-5,7.798441566348714e-6,1.275230502701043e-5,1.788481498625537e-6,6.642045736789915e-8,4.4356654950285423e-8,-2.0012572364903853e-8,8.048778453704997e-8,1.8798190031668192e-5
406,1.3701832769143264e-5,6.298741265127808e-6,9.448742395439894e-6,1.8140637989309884e-6,3.3597590919072506e-8,6.564453096868233e-8,-4.768664873993813e-8,3.1945151751040336e-8,1.83982285416327e-5
407,1.3701832769143264e-5,4.229154849442957e-6,6.228554071046101e-6,1.839609368645156e-6,1.5837229017408652e-9,8.64358653720148e-8,-7.47030941257099e-8,1.979699545134894e-8,1.83982285416327e-5
408,1.3701832769143264e-5,2.2445514508272902e-6,4.210258379467992e-6,1.8658327847257523e-6,3.384254445154961e-8,9.234197177484101e-8,-4.601781542018372e-8,4.5693065258921556e-8,1.8648204472904884e-5
409,1.3701832769143264e-5,9.898021988057985e-7,2.27905424068577e-6,1.892070670433219e-6,6.901739932837022e-8,9.742558786892901e-8,-1.4826326613336797e-8,7.398877087877887e-8,1.8948175590431503e-5
410,1.3701832769143264e-5,8.048391616552199e-7,1.0755358636380753e-6,1.9650888598101e-6,1.335283273586121e-7,1.1553527569669443e-7,1.0395674996120175e-8,8.298740517484658e-8,1.914815633544925e-5
411,1.3701832769143264e-5,1.12477522591568e-6,5.242721147280418e-7,2.0843386200835712e-6,2.261278185404491e-7,1.4601965731905477e-7,3.051805549495483e-8,8.698679819532109e-8,1.9348137080467e-5
412,1.3701832769143264e-5,1.3247352660784677e-6,4.6679780766592856e-8,2.1908083606865245e-6,3.114215574112482e-7,1.7598917404343333e-7,4.782604458450188e-8,1.024844461496599e-7,1.9548117825484744e-5
413,1.3701832769143264e-5,1.3347332680866069e-6,3.229504726299416e-7,2.1676580707433864e-6,3.1901303403068413e-7,1.9855421038136773e-7,3.649322432515348e-8,1.3947883158904934e-7,1.9748098570502493e-5
414,1.3701832769143264e-5,1.3347332680866069e-6,5.944476194104141e-7,2.145567402706391e-6,3.265666399709464e-7,2.207810960840303e-7,2.5371180487375178e-8,2.00469575151286e-7,1.9848088943011363e-5
415,1.3701832769143264e-5,1.4047192821435826e-6,6.887031466536857e-7,2.159031947032664e-6,3.9068598517853115e-7,2.57038381277648e-7,2.973846299001264e-8,2.774578907954207e-7,1.994807931552024e-5
416,1.3701832769143264e-5,1.5046993022249764e-6,6.976016259228172e-7,2.1897142342855388e-6,4.793753287356722e-7,2.988262627047785e-7,4.121177084983297e-8,3.444477238883692e-7,1.999807450177468e-5
417,1.3701832769143264e-5,1.5646873142738129e-6,6.685493310301779e-7,2.2348338700096117e-6,5.84560143544104e-7,3.5187007877201897e-07,6.349213408510126e-8,3.7594294392460613e-7,1.9598113011739186e-5
418,1.3701832769143264e-5,1.624675326322649e-6,5.288025471639741e-7,2.32182192760498e-6,7.455239840898635e-7,4.4124013424374443e-7,1.1828263592562145e-7,4.039386950679279e-7,1.9198151521703687e-5
419,1.3701832769143264e-5,1.7296543474081124e-6,3.923703177982015e-7,2.4075489015662526e-6,9.030800614680724e-7,5.287263240076419e-7,1.718722062671547e-7,4.599301973545713e-7,1.914815633544925e-5
420,1.3701832769143264e-5,1.8896223795383424e-6,2.639567901996231e-7,2.451381853547151e-6,1.1265151750595816e-6,6.341822663108108e-7,1.890463145677566e-7,5.449172990396552e-7,1.9198151521703687e-5
421,1.3701832769143264e-5,2.104579422713339e-6,1.4071832811573228e-7,2.4897230256069275e-6,1.35820898684176e-6,7.412169239292553e-7,1.9920921144695318e-7,6.449021245515184e-7,1.9198151521703687e-5
422,1.3701832769143264e-5,2.364527474924963e-6,1.579398877469476e-7,2.5331998021571908e-6,1.6413311809419702e-6,8.796910350095008e-7,1.9767366238971985e-7,7.398877087877887e-7,1.914815633544925e-5
423,1.3701832769143264e-5,2.6494705321569358e-6,3.559289744599724e-7,2.583317024392379e-6,1.9907629410818774e-6,1.0586864904236222e-6,1.810840374325331e-7,8.498710168508384e-7,1.8998170776685934e-5
424,1.3701832769143264e-5,2.924415587380768e-6,5.413266311849732e-7,2.632608364847779e-6,2.329188285937692e-6,1.2323716567801626e-6,1.664534952936563e-7,9.748520487406675e-7,1.8798190031668192e-5
425,1.3701832769143264e-5,3.149370632563904e-6,4.25160376800875e-7,2.664759875752029e-6,2.774987968816276e-6,1.4798052359322765e-6,2.251895129445783e-7,1.1248292870084623e-6,1.859820928665045e-5
426,1.3701832769143264e-5,3.2843436596737856e-6,3.1458220123577934e-7,2.6971707268917102e-6,3.202204110785544e-6,1.7168854981942138e-6,2.8138579120706174e-7,1.3148004554810026e-6,1.824824298286939e-5
427,1.3701832769143264e-5,3.394321681763319e-6,3.064515918710432e-7,2.729923283835159e-6,3.753247407684961e-6,2.026812777733004e-6,3.423843322874717e-7,1.5447655541582882e-6,1.779828630657946e-5
428,1.3701832769143264e-5,3.619276726946455e-6,3.600202104866529e-7,2.763079877282735e-6,4.375401874104587e-6,2.3786462914212687e-6,4.058892973182978e-7,1.8047261004891328e-6,1.7198344071526215e-5
429,1.3701832769143264e-5,3.944211792210985e-6,5.047780378207531e-7,2.807460448988238e-6,5.023788762029817e-6,2.743556660550063e-6,4.64681703599116e-7,2.064686646819978e-6,1.644841627770967e-5
430,1.3701832769143264e-5,4.144171832373772e-6,9.90320556895468e-7,2.892923630521195e-6,5.818674385951642e-6,3.1849410180768027e-6,5.112069379018568e-7,2.329646434426416e-6,1.5948464415165304e-5
431,1.3701832769143264e-5,4.244151852455166e-6,1.463424087040228e-6,2.9794386426227496e-6,6.598200459678027e-6,3.617741238392485e-6,5.570364873315666e-7,2.644598634788785e-6,1.614844516018305e-5
432,1.3701832769143264e-5,5.998801204883626e-6,1.0233129055598402e-5,3.0208996888452558e-6,7.566389287676942e-6,4.190780267953087e-6,6.398612549550928e-7,2.9995447653559003e-6,1.6848377767745164e-5
433,1.3701832769143264e-5,1.204759241980795e-5,2.0652679300740277e-5,3.052367788141972e-6,8.557012506699055e-6,4.783360737538767e-6,7.292418479789464e-7,3.4044833086789462e-6,1.7648300747816155e-5
434,1.3701832769143264e-5,2.144571430745897e-5,2.962965753255717e-5,3.10046482785652e-6,9.691979819392138e-6,5.4381762019046204e-6,8.293266011977068e-7,3.839417299655553e-6,1.8298238169123827e-5
