Wellenlaenge,Melanopsin,L-cone-opsin,M-cone-opsin,S-cone-opsin,Rhodopsin,V(lambda)
478,9.49035E-01,1.94845E-01,3.36232E-01,3.94699E-01,7.69E-01,0.1279928
479,9.58091E-01,2.01261E-01,3.45480E-01,3.71707E-01,7.81E-01,0.1334528
480,9.65605E-01,2.07940E-01,3.55066E-01,3.50108E-01,7.93E-01,0.13902
481,9.71976E-01,2.14875E-01,3.64985E-01,3.29904E-01,8.05E-01,0.1446764
482,9.77833E-01,2.22022E-01,3.75142E-01,3.10864E-01,8.17E-01,0.1504693
483,9.83006E-01,2.29316E-01,3.85410E-01,2.92741E-01,8.28E-01,0.1564619
484,9.87325E-01,2.36684E-01,3.95646E-01,2.75338E-01,8.40E-01,0.1627177
485,9.90621E-01,2.44046E-01,4.05688E-01,2.58497E-01,8.51E-01,0.1693
486,9.93343E-01,2.51347E-01,4.15435E-01,2.42158E-01,8.62E-01,0.1762431
487,9.95887E-01,2.58695E-01,4.25064E-01,2.26504E-01,8.73E-01,0.1835581
488,9.98008E-01,2.66252E-01,4.34851E-01,2.11726E-01,8.84E-01,0.1912735
489,9.99461E-01,2.74202E-01,4.45097E-01,1.97960E-01,8.94E-01,0.199418
490,1.00000E+00,2.82752E-01,4.56137E-01,1.85297E-01,9.04E-01,0.20802
491,9.99561E-01,2.92071E-01,4.68236E-01,1.73751E-01,9.14E-01,0.2171199
492,9.98365E-01,3.02094E-01,4.81255E-01,1.63149E-01,9.23E-01,0.2267345
493,9.96590E-01,3.12673E-01,4.94927E-01,1.53311E-01,9.32E-01,0.2368571
494,9.94416E-01,3.23637E-01,5.08947E-01,1.44086E-01,9.41E-01,0.2474812
495,9.92022E-01,3.34786E-01,5.22970E-01,1.35351E-01,9.49E-01,0.2586
496,9.88792E-01,3.45943E-01,5.36701E-01,1.27011E-01,9.57E-01,0.2701849
497,9.84220E-01,3.57126E-01,5.50195E-01,1.19017E-01,9.64E-01,0.2822939
498,9.78657E-01,3.68416E-01,5.63616E-01,1.11333E-01,9.70E-01,0.2950505
499,9.72451E-01,3.79907E-01,5.77150E-01,1.03934E-01,9.76E-01,0.308578
500,9.65952E-01,3.91705E-01,5.91003E-01,9.67990E-02,9.82E-01,0.323
501,9.58844E-01,4.03905E-01,6.05350E-01,8.99169E-02,9.86E-01,0.3384021
502,9.50716E-01,4.16500E-01,6.20160E-01,8.32878E-02,9.90E-01,0.3546858
503,9.41778E-01,4.29453E-01,6.35343E-01,7.69157E-02,9.94E-01,0.3716986
504,9.32236E-01,4.42720E-01,6.50796E-01,7.08052E-02,9.97E-01,0.3892875
505,9.22299E-01,4.56252E-01,6.66404E-01,6.49614E-02,9.98E-01,0.4073
506,9.11832E-01,4.69997E-01,6.82055E-01,5.94049E-02,1.000E+00,0.4256299
507,9.00602E-01,4.83926E-01,6.97672E-01,5.42076E-02,1.000E+00,0.4443096
508,8.88663E-01,4.98012E-01,7.13186E-01,4.94281E-02,1.000E+00,0.4633944
509,8.76073E-01,5.12227E-01,7.28526E-01,4.50993E-02,9.98E-01,0.4829395
510,8.62888E-01,5.26538E-01,7.43612E-01,4.12337E-02,9.97E-01,0.503
511,8.48801E-01,5.40923E-01,7.58396E-01,3.78142E-02,9.94E-01,0.5235693
512,8.33678E-01,5.55406E-01,7.72966E-01,3.47627E-02,9.90E-01,0.544512
513,8.17832E-01,5.70025E-01,7.87457E-01,3.20029E-02,9.86E-01,0.56569
514,8.01579E-01,5.84828E-01,8.02017E-01,2.94746E-02,9.81E-01,0.5869653
515,7.85233E-01,5.99867E-01,8.16808E-01,2.71300E-02,9.75E-01,0.6082
516,7.68718E-01,6.15162E-01,8.31919E-01,2.49376E-02,9.68E-01,0.6293456
517,7.51807E-01,6.30569E-01,8.47096E-01,2.28931E-02,9.61E-01,0.6503068
518,7.34593E-01,6.45883E-01,8.61972E-01,2.09956E-02,9.53E-01,0.6708752
