Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
529,6.198761245046415e-5
530,7.348531475982441e-5
531,9.398121887651014e-5
532,1.2297542470011434e-4
533,1.5546893122656732e-4
534,1.944611390583109e-4
535,0.00026144775251284473
536,3.8642277761458696e-4
537,6.248751255087112e-4
538,0.0010547892118587044
539,0.0018396323694976457
540,0.0031493706325639043
541,0.004869026977963877
542,0.006698661345453384
543,0.008248351656714987
544,0.008948211797284743
545,0.008598281726999866
546,0.0074485114960638355
547,0.00594881119484293
548,0.004414117886593535
549,0.0033143376656982037
550,0.0026094785241243777
551,0.0021695664357662446
552,0.0018546293725098543
553,0.0015196963052371856
554,0.0011497702309360284
555,8.098381626592897e-4
556,5.44891109443596e-4
557,3.6292747289545937e-4
558,2.6794645381813533e-4
559,0.00021495704317499661
560,1.7246553464040422e-4
561,1.4047192821435827e-4
562,1.2147572439889345e-4
563,1.0897822188871924e-4
564,9.698061947895196e-5
565,8.548291716959169e-5
566,7.798441566348713e-5
567,7.448511496063836e-5
568,7.498501506104533e-5
569,7.798441566348713e-5
570,8.348331676796379e-5
571,9.29814186756962e-5
572,1.1097782229034709e-4
573,1.4547092921842798e-4
574,2.1245754267296176e-4
575,3.21435764561681e-4
576,4.7140579468377174e-4
577,6.548691315331293e-4
578,8.49830170691847e-4
579,0.0010497902108546346
580,0.0012447512500133524
581,0.0014397122891720705
582,0.0016246753263226485
583,0.0017946413604610183
584,0.0019396123895790392
585,0.002054589412672642
586,0.0021295744277336874
587,0.0021595684337581056
588,0.002114577424721478
589,0.0019446113905831086
590,0.001689662339375555
591,0.0014897022992127673
592,0.001369726275115095
593,0.0012447512500133524
594,0.001059788212862774
595,8.598281726999865e-4
596,6.89862138561617e-4
597,6.148771235005718e-4
598,6.398721285209202e-4
599,6.848631375575473e-4
600,6.848631375575473e-4
601,6.198761245046415e-4
602,5.098981024151084e-4
603,4.2141578464307487e-4
604,4.2041598444226083e-4
605,4.48910290165458e-4
606,4.804039964910971e-4
607,8.748251757121956e-4
608,0.002069586415684851
609,0.003974205798235403
610,0.0062487512550871115
611,0.007998401606511503
612,0.008248351656714987
613,0.007148571435819655
614,0.005498901104476657
615,0.003859228775141799
616,0.0026894625401894926
617,0.002069586415684851
618,0.001789642359456948
619,0.0017046593423877636
620,0.001719656345399973
621,0.0017396523494162515
622,0.001674665336363346
623,0.0015246953062412552
624,0.0013547292721028856
625,0.0012097582429848647
626,0.0010947812198912618
627,0.0010347932078424256
628,0.0010697862148709133
629,0.001189762238968586
630,0.0012947412600540498
631,0.0012947412600540498
632,0.0011197762249116102
633,7.998401606511502e-4
634,5.048991014110386e-4
635,3.244351651641228e-4
636,2.344531470908684e-4
637,1.9646073945993873e-4
638,1.7746453564447393e-4
639,1.624675326322649e-4
640,1.6346733283307882e-4
641,1.8096383634732275e-4
642,1.979604397611597e-4
643,2.054589412672642e-4
644,2.0945814207051997e-4
645,2.154569432754036e-4
646,2.2695464558476387e-4
647,2.4945015010307745e-4
648,2.944411591397047e-4
649,3.579284718913897e-4
650,4.184163840406329e-4
651,4.464107896634232e-4
652,4.094181822333075e-4
653,3.199360642604601e-4
654,2.4045194829575201e-4
655,1.9596083935953176e-4
656,1.689662339375555e-4
657,1.5046993022249763e-4
658,1.44471129017614e-4
659,1.5396923092534642e-4
660,1.7946413604610185e-4
661,2.1595684337581057e-4
662,2.5444915110714716e-4
663,2.769446556254608e-4
664,2.6394725301487955e-4
665,2.284543458859848e-4
666,2.0395924096604332e-4
667,1.989602399619736e-4
668,2.0495904116685722e-4
669,2.069586415684851e-4
670,1.9046193825505512e-4
671,1.6696663353592766e-4
