Wellenlaenge (nm),Bestrahlungsstaerke (W/m^2)
647,0.0023294574383992458
648,0.0023433538454351644
649,0.0023558656204844845
650,0.002365542461715585
651,0.002376165393934312
652,0.002390244340878432
653,0.002402598063080408
654,0.0024100198686162915
655,0.0024187506188597637
656,0.002431917979311099
657,0.0024447859297910554
658,0.0024564317533246416
659,0.002467130372822379
660,0.002473424660510655
661,0.002481258293888212
662,0.0024978371471361103
663,0.0025136791624618803
664,0.002525001088963231
665,0.0025358154654759255
666,0.0025432740016030934
667,0.0025516585938499163
668,0.002566699214456754
669,0.002581214476303404
670,0.002591484572236157
671,0.002601747989879586
672,0.002614915350330921
673,0.0026273514381012315
674,0.002633685795525454
675,0.002640635668615744
676,0.002652110082723337
677,0.0026636434883866283
678,0.002675025519491899
679,0.002686247271653384
680,0.002696349297304805
681,0.002706551497296094
682,0.0027188740541478885
683,0.002730183737118811
684,0.002737041227206781
685,0.002746253927329833
686,0.002764093864211828
687,0.0027794951124421852
688,0.002786956987714015
689,0.0027955007458564034
690,0.0028069161684082964
691,0.002818687766390826
692,0.002831736030682542
693,0.002843346236673065
694,0.0028522439441496478
695,0.002860513892429734
696,0.0028677999060826875
697,0.0028770526759416856
698,0.002888790882477593
699,0.002899125535207149
700,0.002907977607706682
701,0.0029205906701440898
702,0.002936683121319525
703,0.0029466538072809
704,0.0029526965460712888
705,0.0029598879506254794
706,0.0029676503489169097
707,0.0029788008659922664
708,0.002991164605628229
709,0.00300128110090652
710,0.0030108655591352985
711,0.0030191878206817595
712,0.0030274099078883543
713,0.0030437739428296503
714,0.003059981037971822
715,0.003062523240107989
716,0.0030667973452756245
717,0.003083080127696807
718,0.003097883669032627
719,0.003107128647554081
720,0.0031165116440549055
721,0.0031258490055786803
722,0.0031348736005524275
723,0.0031433661584766605
724,0.0031508569730022305
725,0.003157350496322018
726,0.0031669238240685893
727,0.0031785518388306438
728,0.003191671338208487
729,0.0032054586665187738
730,0.0032153191607062954
731,0.0032240042759727173
732,0.003232325424470958
733,0.003240731164633974
734,0.0032496967680520216
735,0.0032583896746559886
736,0.0032656523142963064
737,0.003273879966744005
738,0.003284244671775521
739,0.003293952678356802
740,0.0033028136552420997
741,0.003312502740003628
742,0.0033231167678365895
743,0.0033338009177074574
744,0.0033445952593521787
745,0.003357422027047968
746,0.0033706951270802733
747,0.003372275655553722
748,0.0033755903131550812
749,0.0033889235177913058
750,0.0034006928896773937
751,0.003408143634467017
752,0.003418376999808486
753,0.003431943944571066
754,0.0034441251442988274
755,0.003455471557861035
756,0.0034599805162032456
757,0.0034626384753543692
758,0.003474235324766243
